year,episodes,steps,spot_down_share,bad_down_share,bad_down_reward_contribution,other_state_reward_contribution,total_reward_difference,down_iv_up_steps,down_iv_up_option_up_share,down_iv_up_mean_option_pnl,bad_down_agent_mean_pnl,bad_down_bs_mean_pnl,bad_down_option_loss,bad_down_agent_hedge_gain,bad_down_bs_hedge_gain,bad_down_agent_recovery_ratio,bad_down_bs_recovery_ratio
2015,75,1575,0.49333333333333335,0.4876190476190476,-2.0660798273190335,4.011947309396899,1.9458674820778652,497,0.018108651911468814,-0.4246346929166834,0.01704950672382576,0.05009503996109214,0.40780108186519115,0.424850588589017,0.45789612182628336,1.0418083901245312,1.122841851551665
2016,117,2457,0.4875864875864876,0.4778184778184778,-1.2556371938539583,2.557271869918307,1.3016346760643485,769,0.031209362808842653,-0.3119072630190598,0.0020985046195671955,0.02330115942137957,0.29022176099987645,0.29232026561944363,0.313522920421256,1.0072306935645947,1.0802874303467185
2017,250,5250,0.42323809523809525,0.4125714285714286,-0.32672271764393146,0.735830791049366,0.4091080734054346,1310,0.04122137404580153,-0.16430230191587722,-0.0005550536004909707,0.0019212035930223595,0.1677038671630632,0.16714881356257225,0.16962507075608557,0.9966902754845166,1.0114559289867437
2018,320,6720,0.4772321428571429,0.4694940476190476,-1.5829919175447316,2.1059661548520316,0.5229742373073002,2123,0.024022609514837492,-0.5193535047943776,0.03026934425426023,0.055433838105199695,0.47954976219873907,0.5098191064529993,0.5349836003039388,1.0631203404532517,1.1155955908538775
2019,319,6699,0.39632781012091356,0.37841468875951634,-1.3064465232739455,2.5111838081858617,1.2047372849119165,1732,0.06928406466512702,-0.3244258955683535,0.0013900338393323325,0.024982509377965728,0.3395046789233531,0.34089471276268546,0.3644871883013188,1.0040942995063882,1.0735851695982246
2020,518,10878,0.4034749034749035,0.39593675307961024,-6.8055904986365725,6.307693052836348,-0.49789744580022405,2579,0.031407522295463355,-0.7463729844487196,-0.005045833600505361,0.08362602623367138,0.7383689485897739,0.7333231149892685,0.8219949748234454,0.9931662435017853,1.1132577776914787
2021,597,12537,0.39842067480258436,0.3895668820291936,-1.3497220099418688,3.0232335435422875,1.673511533600419,3654,0.029009304871373837,-0.3927942106782887,0.003131918722994362,0.025616521625090916,0.3744235616642704,0.3775554803872648,0.4000400832893613,1.0083646411274798,1.0684158911133381
2022,759,15939,0.5654683480770437,0.546709329318025,-5.466279672906551,3.561545515088396,-1.9047341578181538,4817,0.05439069960556363,-0.5607517871332207,-0.04447184635040712,0.0046612761009940775,0.5669983510883262,0.522526504737919,0.5716596271893201,0.9215661804570584,1.0082209694120745
2023,632,13272,0.44816154309825196,0.44318866787221217,-1.1660566124377296,1.2609721422741982,0.09491552983646859,2860,0.022727272727272728,-0.48064905342385783,-0.02722766907662225,-0.0162567625188868,0.46390170968189204,0.4366740406052698,0.44764494716300524,0.9413072456764756,0.9649564505161353
