year,steps,down_steps,down_share,mean_option_pnl_down,mean_spot_component_down,mean_iv_component_down,positive_iv_offset_ratio,net_iv_offset_ratio,down_iv_up_steps,down_iv_up_share,down_iv_up_option_up_share,mean_option_pnl_down_iv_up,mean_spot_component_down_iv_up,mean_iv_component_down_iv_up
2015,1500,747,0.498,-0.40761650668503696,-0.4006879480961619,0.033453988289700955,0.1204427392535989,0.08349137639066766,499,0.6680053547523427,0.01603206412825651,-0.44975718296819633,-0.48046443425644775,0.07224486107974025
2016,2340,1144,0.4888888888888889,-0.2847049855028392,-0.27971823665397505,0.02944788663246336,0.15445397415800954,0.10527696365000262,750,0.6555944055944056,0.029333333333333333,-0.32118502530647214,-0.3509602609376878,0.06589988097367273
2017,5000,2112,0.4224,-0.16057815811715972,-0.1517455873218258,0.014630618770238427,0.1787708005369391,0.0964154479115722,1315,0.6226325757575758,0.03878326996197719,-0.16515850421463155,-0.18512712250807992,0.04356932351389377
2018,6400,3046,0.4759375,-0.474496791434271,-0.4709564030780933,0.03707616879708214,0.109688777716187,0.07872526746585974,2072,0.680236375574524,0.022683397683397683,-0.5300737773716198,-0.5638217840582468,0.07594217843410292
2019,6380,2519,0.39482758620689656,-0.325127207897705,-0.3218247050609699,0.03448247435737682,0.14532266964692225,0.10714675975806176,1716,0.6812227074235808,0.06235431235431235,-0.33128660062430015,-0.36028967757709335,0.06865364995637639
2020,10360,4145,0.4000965250965251,-0.7233139784946665,-0.7304164152625876,0.06335967123419539,0.1422206359509629,0.08674458830640785,2617,0.6313630880579011,0.030187237294612153,-0.758340904131186,-0.8641944451883276,0.1645333549783657
2021,11940,4724,0.3956448911222781,-0.3605959235175571,-0.3684571013091567,0.04310959933628689,0.14680846793484922,0.11700032156556392,3517,0.7444961896697714,0.029570656809781062,-0.3859841291302841,-0.4217798963224536,0.0726566815162696
2022,15180,8569,0.5644927536231884,-0.5431304540050601,-0.5197524896179506,0.014210481616074256,0.07922226556218383,0.027340863006774272,4819,0.5623760065351849,0.05540568582693505,-0.5552454138265013,-0.5885135093653505,0.07321786363683229
2023,12640,5590,0.442246835443038,-0.46011256142853535,-0.43197537787203044,0.008596008192295198,0.08130580179886494,0.01989930128573602,2822,0.504830053667263,0.02303330970942594,-0.48286127927346656,-0.5052273673942633,0.06957213462256016
